uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long,source_name,source_city,source_country,source_lat,source_long
119,"100",Zürich Airport,Zurich,Switzerland,47.464699,8.54917,Bristol Airport,Bristol,United Kingdom,51.382702,-2.71909
304,"319",Lungi International Airport,Freetown,Sierra Leone,8.61644,-13.1955,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
536,"320",Mohammed V International Airport,Casablanca,Morocco,33.3675003051758,-7.58997011184692,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
537,"320",Ibn Batouta Airport,Tanger,Morocco,35.7268981934,-5.91689014435,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
1244,CRJ,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
1245,"319",Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
1344,CRJ,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
1400,"319",Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
1502,319 320,Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
1503,319 CRJ,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
1504,319 320,Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
1505,319 320,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
1513,"319",Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
1514,CRJ,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
1530,CRJ,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,Newquay Cornwall Airport,Newquai,United Kingdom,50.440601348877,-4.99540996551514
1586,"319",Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
1587,"319",Hannover Airport,Hannover,Germany,52.461101532,9.68507957458,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
1588,"319",Stuttgart Airport,Stuttgart,Germany,48.6898994446,9.22196006775,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
3904,E90 320,Chişinău International Airport,Chisinau,Moldova,46.9277000427246,28.9309997558594,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
4174,77W,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
4175,77W,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
4396,321 320,Eleftherios Venizelos International Airport,Athens,Greece,37.9364013672,23.9444999695,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
4403,"320",Eleftherios Venizelos International Airport,Athens,Greece,37.9364013672,23.9444999695,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
4664,321 320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512
4755,"319",London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,George Best Belfast City Airport,Belfast,United Kingdom,54.6180992126465,-5.87249994277954
5386,767 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
5469,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
5470,"757",Philadelphia International Airport,Philadelphia,United States,39.871898651123,-75.241096496582,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
5761,"319",London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,Leeds Bradford Airport,Leeds,United Kingdom,53.8658981323242,-1.66057002544403
5800,"777",McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
5801,"777",Orlando International Airport,Orlando,United States,28.4293994903564,-81.3089981079102,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
5802,"777",Tampa International Airport,Tampa,United States,27.9755001068115,-82.533203125,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
5804,319 321 320,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5805,"744",Kotoka International Airport,Accra,Ghana,5.60518980026245,-0.166786000132561,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5806,"320",Málaga Airport,Malaga,Spain,36.6749000549316,-4.49911022186279,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5807,320 319 321,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5808,321 319 767 320,Stockholm-Arlanda Airport,Stockholm,Sweden,59.651901245117,17.918600082397,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5809,767 320,Eleftherios Venizelos International Airport,Athens,Greece,37.9364013672,23.9444999695,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5810,"777",Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5811,"777",Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.4330005645752,54.6511001586914,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5812,"787",Austin Bergstrom International Airport,Austin,United States,30.1944999694824,-97.6698989868164,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5813,"777",Bahrain International Airport,Bahrain,Bahrain,26.2707996368408,50.6335983276367,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5814,319 320 321 767,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5815,"319",Bergen Airport Flesland,Bergen,Norway,60.29339981,5.218140125,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5816,"319",George Best Belfast City Airport,Belfast,United Kingdom,54.6180992126465,-5.87249994277954,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5817,320 319,Bologna Guglielmo Marconi Airport,Bologna,Italy,44.5354,11.2887,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5818,"777",Kempegowda International Airport,Bangalore,India,13.1979,77.706299,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5819,"777",Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5820,744 777,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5821,320 319 321,Brussels Airport,Brussels,Belgium,50.9014015198,4.48443984985,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5822,319 321,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,47.59,7.5291667,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5823,"320",Budapest Liszt Ferenc International Airport,Budapest,Hungary,47.42976,19.261093,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
