uid,equipment,source_name,source_city,source_country,source_lat,source_long
119,100,Bristol Airport,Bristol,United Kingdom,51.382702,-2.71909
304,319,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
536,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
537,320,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
1244,CRJ,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
1245,319,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728
1344,CRJ,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362
1400,319,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
1502,319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
1503,319 CRJ,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
1504,319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
1505,319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
1513,319,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
1514,CRJ,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
1530,CRJ,Newquay Cornwall Airport,Newquai,United Kingdom,50.440601348877,-4.99540996551514
1586,319,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
1587,319,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
1588,319,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
3904,E90 320,London Stansted Airport,London,United Kingdom,51.8849983215,0.234999999404
4174,77W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
4175,77W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
4396,321 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
4403,320,Manchester Airport,Manchester,United Kingdom,53.3536987304688,-2.27495002746582
4664,321 320 319,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.2019004821777,-2.19777989387512
4755,319,George Best Belfast City Airport,Belfast,United Kingdom,54.6180992126465,-5.87249994277954
5386,767 320 321,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954
5469,319 320 321,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
5470,757,Glasgow International Airport,Glasgow,United Kingdom,55.8718986511,-4.43306016922
5761,319,Leeds Bradford Airport,Leeds,United Kingdom,53.8658981323242,-1.66057002544403
5800,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
5801,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
5802,777,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278
5804,319 321 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5805,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5806,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5807,320 319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5808,321 319 767 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5809,767 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5810,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5811,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5812,787,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5813,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5814,319 320 321 767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5815,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5816,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5817,320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5818,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5819,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5820,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5821,320 319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5822,319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5823,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5824,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5825,320 319 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5826,333,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5827,321 320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5828,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5829,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5830,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5831,77W 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5832,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5833,319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5834,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5835,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5836,767 321 320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5837,777 787,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5838,321 320 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5839,319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5840,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5841,319 320 321 767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5842,320 321 319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5843,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5844,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5845,321 319 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5846,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5847,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5848,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5849,744 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5850,767 320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5851,77W 777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5852,380 744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5853,380,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5854,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5855,744,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5856,77W,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5857,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5858,767,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5859,319 320 321,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5860,320,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5861,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5862,319,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
5863,777,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941
