uid,airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment,airports-extended-geo-uk-only-join_country,airports-extended-geo-uk-only-join_type,layer,path,dest-airports_name,dest-airports_city,dest-airports_country,dest-airports_lat,dest-airports_long,dest-airports_type,src-airports_name,src-airports_city,src-airports_country,src-airports_lat,src-airports_long,src-airports_type
119,2L,"2750",BRS,"490",ZRH,"1678",,0,"100",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Zürich Airport,Zurich,Switzerland,47.464699,8.54917,airport,Bristol Airport,Bristol,United Kingdom,51.382702,-2.71909,airport
304,3G,"595",LGW,"502",FNA,"1059",,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Lungi International Airport,Freetown,Sierra Leone,8.61644,-13.1955,airport,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278,airport
536,3O,"9818",LGW,"502",CMN,"1074",,0,"320",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Mohammed V International Airport,Casablanca,Morocco,33.3675003051758,-7.58997011184692,airport,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278,airport
537,3O,"9818",LGW,"502",TNG,"1080",,0,"320",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Ibn Batouta Airport,Tanger,Morocco,35.7268981934,-5.91689014435,airport,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278,airport
1244,4U,"2548",BHX,"469",HAM,"342",,0,CRJ,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869,airport,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728,airport
1245,4U,"2548",BHX,"469",TXL,"351",,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Berlin-Tegel Airport,Berlin,Germany,52.5597,13.2877,airport,Birmingham International Airport,Birmingham,United Kingdom,52.4538993835,-1.74802994728,airport
1344,4U,"2548",CWL,"488",DUS,"345",,0,CRJ,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,airport,Cardiff International Airport,Cardiff,United Kingdom,51.3967018127441,-3.34332990646362,airport
1400,4U,"2548",EDI,"535",CGN,"344",,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728,airport,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954,airport
1502,4U,"2548",LHR,"507",CGN,"344",,0,319 320,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Cologne Bonn Airport,Cologne,Germany,50.8658981323,7.1427397728,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
1503,4U,"2548",LHR,"507",HAM,"342",,0,319 CRJ,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Hamburg Airport,Hamburg,Germany,53.630401611328,9.9882297515869,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
